name,symmary,link,program_type,program_overview,program_duration,program_requirements,program_fees
Architectural Engineering BEng (Hons),"Architectural Engineering BEng combines the creativity of architecture with the rigour of engineering, playing a key role in the production of an ever-more complex built environment.",https://www.lboro.ac.uk/study/undergraduate/courses/architectural-engineering-beng/,Undergraduate study,"This is a design-led course grounded in the prestigious School of Architectural, Building and Civil Engineering. The course develops your understanding of the principles of engineering, which you can then apply to architectural design projects.
Combining the creativity of architecture with the rigour of engineering, the Architectural Engineer plays a key role in the production of a sustainable built environment. Architectural Engineers oversee the whole building process, from concept to construction. Architectural Engineers combine architecture, environmental design and structural engineering to deliver iconic, resilient and sustainable buildings.
You will study environmental, structural, and architectural design in an interactive format. The traditional studies of building materials, mechanics of structures, building physics and environmental systems will be brought together with humanistic subjects through a series of integrated design projects. These will be the common ground where the relevant disciplines come together to challenge and develop your skills as an Architectural Engineer.
To ensure that you gain an appropriate industrial perspective, our students normally have the opportunity to undertake site visits and study trips. Contribution from leading practitioners and guest speakers in the fields of architecture and engineering is also an integral part of the learning experience.
School of Architecture, Building and Civil Engineering
Discover what it's like to study in an integrated School where students across different disciplines that make up the built environment work together on projects that mimic real-life workplace scenarios.
What's the difference between MEng and BEng?
The BEng course will develop your skills and knowledge in the fundamentals of engineering, with an additional understanding of the architectural design process. As the BEng course is one year shorter compared to the MEng course, this option is ideal if you are keen to start your career in industry early, or if you wish to specialise through one of our other MSc programmes after your BEng studies. Students on the BEng degree have the option to transfer to the MEng degree at the end of year two, subject to satisfactory performance.
The MEng course will deepen and broaden your architectural competencies and environmental engineering skills through a major design project, as well as taught topics. You will gain an understanding of methods for automating construction manufacturing, as well as an in-depth understanding of the role of a building in its environment.
Architectural Engineering MEng",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Architectural Engineering MEng (Hons),"Architectural Engineering MEng combines the creativity of architecture with the rigour of engineering, playing a key role in the production of an ever-more complex built environment.",https://www.lboro.ac.uk/study/undergraduate/courses/architectural-engineering-meng/,Undergraduate study,"This is a design-led course grounded in the prestigious School of Architectural, Building and Civil Engineering. The course develops your understanding of the principles of engineering, which you can then apply to architectural design projects.
Combining the creativity of architecture with the rigour of engineering, the Architectural Engineer plays a key role in the production of a sustainable built environment. Architectural Engineers oversee the whole building process, from concept to construction. Architectural Engineers combine architecture, environmental design and structural engineering to deliver iconic, resilient and sustainable buildings.
You will study environmental, structural, and architectural design in an interactive format. The traditional studies of building materials, mechanics of structures, building physics and environmental systems will be brought together with humanistic subjects through a series of integrated design projects. These will be the common ground where the relevant disciplines come together to challenge and develop your skills as an Architectural Engineer.
To ensure that you gain an appropriate industrial perspective, our students normally have the opportunity to undertake site visits and field trips. Students on the MEng course normally have the additional opportunity to go on a study trip to a European city. Contribution from leading practitioners and guest speakers in the fields of architecture and engineering is also an integral part of the learning experience.
School of Architecture, Building and Civil Engineering
Discover what it's like to study in an integrated School where students across different disciplines that make up the built environment work together on projects that mimic real-life workplace scenarios.
What's the difference between MEng and BEng?
The MEng course will deepen and broaden your architectural competencies and environmental engineering skills through a major design project, as well as taught topics. You will gain an understanding of methods for automating construction manufacturing, as well as an in-depth understanding of the role of a building in its environment.
The BEng course will develop your skills and knowledge in the fundamentals of engineering, with an additional understanding of the architectural design process. As the BEng course is one year shorter compared to the MEng course, this option is ideal if you are keen to start your career in industry early, or if you wish to specialise through one of our other MSc programmes after your BEng studies. Students on the BEng degree have the option to transfer to the MEng degree at the end of year two, subject to satisfactory performance.
Architectural Engineering BEng",5 years full-time with placement year or 4 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Architecture BArch (Hons),Our BArch (Hons) Architecture degree is an innovative course founded on Loughborough's 100 years of 'theory and practice' culture to foster learning in both the university and the workplace. Find out more.,https://www.lboro.ac.uk/study/undergraduate/courses/architecture-barch/,Undergraduate study,"Our innovative Architecture course aims to nurture creative design leaders who flourish in architectural practice, with first-rate communication and management skills, as well as multidisciplinary knowledge and abilities. It aims to produce exceptional architects through an education that is immersed in hands-on experiences.
Architects are involved in the planning and design of the buildings and spaces we inhabit. Architecture is everywhere and brings together many fields of human endeavour, including art, history, physics, engineering, and more.
Our Architecture undergraduate degree is an innovative course founded on Loughborough's 100 years of 'theory and practice' culture to foster learning in both the University and the workplace. The Architecture degree will allow you to study with allied courses in the School and wider University to mimic real-life work scenarios. More specifically, the Architecture degree exploits our internationally-renowned expertise across the built environment disciplines, including construction, engineering, and building energy. A significant part of the Architecture degree is studio-based, supported by a dedicated team of architectural practitioners.
Every year, we hold an End of Year Show to celebrate the year’s achievements and showcase student work to practitioners interested in hiring our students and graduates.
The course will exempt you from the Royal Institute of British Architects (RIBA) Part I exam. Transfer onto our extended MArch programme may be possible upon completion of this degree to take a step towards becoming a Chartered Architect.
Architecture MArch
School of Architecture, Building and Civil Engineering
Discover what it's like to study in an integrated School where students across different disciplines that make up the built environment work together on projects that mimic real-life workplace scenarios.",4 years full-time with placement year,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Automotive Engineering BEng (Hons),Our Automotive Engineering BSc courses were the first of their kind in the UK and have established a national and international reputation for producing quality graduates. Find out why you should study this course right here.,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-engineering-beng/,Undergraduate study,"Automotive technologies have changed dramatically over the last five years, with electrification and connectivity being central to the future of the industry. Manufacturers are modernising engineering activities accordingly, with significant pressure to reduce development time and cost through digitisation of the engineering process. The Automotive Engineering programme at Loughborough will enable you to specialise in subjects that are directly relevant to a rapidly changing industry and the future of ground transportation.
Our dedicated Department of Aeronautical and Automotive Engineering (one of only two in the UK) has been teaching Automotive Engineering and working with major UK industry for over fifty years. Our course is based on our heritage of working alongside industry, and from the outset we make use of automotive specific examples in teaching the engineering fundamentals, an approach that differs from many other automotive engineering courses in the UK. Our ongoing exchange of knowledge with industry ensures that our taught courses are immediately relevant to the problems faced by industry, today.
From topics related to new powertrain architectures, to specialist modules including Battery Technology and Machine Intelligence, the course also includes more foundational topics such as Aerodynamics, Materials, Structures and Experimental and Computational Fluid Dynamics. These provide you with a comprehensive knowledge of the underlying and unchanging physics of automotive systems essential to modern automotive engineering. 
As an automotive engineer, you will make extensive use of your theoretical and analytical skills, but it is also important for you to be able to appreciate the more practical aspects of engineering. Practical activities are integral to our course, for example, by spending a week at HORIBA MIRA proving ground you will learn how to collect and analyse vehicle handling, off-road dynamics, noise measurement, braking performance and wet weather driving data. This and many other ‘hands-on’ activities will enable you to put the theory you have learned into practice.
Teamwork and management skills are critical to you as you develop your career and move to more senior positions. During the course you will have many opportunities to develop these skills, including working as part of a team to design a vehicle of the future. In your final year you will manage your own original research project to solve a real-world engineering problem.  
As these courses are taught within the Department of Aeronautical and Automotive Engineering, our teaching staff are engaged in exciting research into air and ground transport which helps keep our course up-to-date. We bring together outstanding facilities, superb teaching, and strong links with industry to make sure you are completely ready for your future career.
Play
Vehicle test week: MIRA
Zoom
Students in our Penrose Atrium
What's the difference between MEng and BEng?
The first two years of the BEng and MEng Automotive Engineering degree share the same format and structure, with a high level of fundamental engineering and automotive specific subjects from day one and examples tuned to your interest.The MEng courses differ from the BEng by offering the opportunity to study topics in more detail with the option to study a modern language.  
You can choose whether to take a placement year. The MEng course takes four years to complete, or five years with a placement year, while the BEng takes three years, or four years with a placement. The placement is normally taken after the second year, but MEng students can opt to take it after the third year.
It is possible to transfer from a BEng to an MEng up to the end of the second year, providing that the transfer progression criteria have been met.
Automotive Engineering MEng",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Automotive Engineering MEng (Hons),Our MEng (Hons) Automotive Engineering course (alongside the BEng version) is the first of it's kind in the UK and as such it's established a national and international reputation for producing quality graduates. This course is unique in that they are run in an automotive department by academics working with the automotive industry.,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-engineering-meng/,Undergraduate study,"Automotive technologies have changed dramatically over the last five years, with electrification and connectivity being central to the future of the industry. Manufacturers are modernising engineering activities accordingly, with significant pressure to reduce development time and cost through digitisation of the engineering process. The Automotive Engineering programme at Loughborough will enable you to specialise in subjects that are directly relevant to a rapidly changing industry and the future of ground transportation.
Our dedicated Department of Aeronautical and Automotive Engineering (one of only two in the UK) has been teaching Automotive Engineering and working with major UK industry for over fifty years. Our course is based on our heritage of working alongside industry, and from the outset we make use of automotive specific examples in teaching the engineering fundamentals, an approach that differs from many other automotive engineering courses in the UK. Our ongoing exchange of knowledge with industry ensures that our taught courses are immediately relevant to the problems faced by industry, today.
From topics related to new powertrain architectures, to specialist modules including Battery Technology and Machine Intelligence, the course also includes more foundational topics such as Aerodynamics, Materials, Structures and Experimental and Computational Fluid Dynamics. These provide you with a comprehensive knowledge of the underlying and unchanging physics of automotive systems essential to modern automotive engineering. 
As an automotive engineer, you will make extensive use of your theoretical and analytical skills, but it is also important for you to be able to appreciate the more practical aspects of engineering. Practical activities are integral to our course, for example, by spending a week at HORIBA MIRA proving ground you will learn how to collect and analyse vehicle handling, off-road dynamics, noise measurement, braking performance and wet weather driving data. This and many other ‘hands-on’ activities will enable you to put the theory you have learned into practice.
Teamwork and management skills are critical to you as you develop your career and move to more senior positions. During the course you will have many opportunities to develop these skills including working as part of a team to design a vehicle of the future. In your final year you will manage your own original research project to solve a real-world engineering problem.  
As these courses are taught within a Department of Aeronautical and Automotive Engineering, our teaching staff are engaged in exciting research into air and ground transport which helps keep our course up-to-date. We bring together outstanding facilities, superb teaching, and strong links with industry to make sure you are completely ready for your future career.
Play
Vehicle test week: MIRA
Zoom
Students in our Penrose Atrium
What's the difference between MEng and BEng?
The first two years of the BEng and MEng Automotive Engineering degree share the same format and structure, with a high level of fundamental engineering and automotive specific subjects from day one. The MEng courses differ from the BEng by offering the opportunity to study topics in more detail with the option to study a modern language.
You can choose whether to take a placement year. The MEng course takes four years to complete, or five years with a placement year, while the BEng takes three years, or four years with a placement. The placement is normally taken after the second year, but MEng students can opt to take it after the third year.
It is possible to transfer from a BEng to an MEng up to the end of the second year, providing that the transfer progression criteria have been met.
Automotive Engineering BEng",5 years full-time with placement year or 4 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Automotive Materials BEng (Hons),The Automotive Materials BEng course combines the core elements of materials engineering with specific training of relevance to the automotive (vehicle and transport) industries.,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-materials-beng/,Undergraduate study,"A need for increased fuel efficiency, lighter vehicles, and a need to meet new environmental regulations, alongside a need for delivering superior value to customer, means that automotive companies are focusing on developing new materials to keep up with policies, as well as increased demand.
Automotive Materials is therefore an increasingly important area of study, as the industry operates to meet changing needs. The very fabric that our vehicles are made of need to reflect this, as well as maintaining appearance, functionality and safety aspects, all whilst keeping costs to the customer down.
Our Automotive Materials degree combines the core elements of materials engineering with specific training of relevance to the automotive industries. Selected modules are taught in conjunction with the Department of Aeronautical and Automotive Engineering. 
This course will give you the opportunity to explore and deepen your knowledge and understanding of the scientific, engineering and design aspects of automotive materials, their structure, properties, processing, and in-service behaviour.
At Loughborough, our course will take you from the fundamental science and engineering of materials, to the cutting-edge of the subject. During your time with us, you will have access to our state-of-the-art experimental labs to complement your lectures and will be taught by world-leading academics whose influence extends outside of the lecture theatre. In year three, students will complete a research project on a specific topic of interest supervised by a member of academic staff, potentially in collaboration with an industrial partner. 
Backed by all sectors of the automotive and transport industries, this is the definitive course to prepare you for a career in an important industrial world market.
Our Automotive Materials course utilises the resources and expertise for which Loughborough University is a Centre of Excellence and is recognised as such by BAE Systems, Jaguar Land Rover, Ford Motor Company and Rolls-Royce, as well as national research and education leaders in materials and automotive engineering. It offers a special blend of materials engineering knowledge linked to an appreciation of vehicle and engine design, plus management skills and the international awareness that is required of professional engineers.
What's the difference between MEng and BEng?
The first two years of a BEng or MEng share the same content, format and structure, with a good mix of theory, application and practical content from day one. The MEng differs from the BEng course in the third and fourth years by offering the opportunity to study technical and management topics at a more advanced level. It is possible to transfer from a BEng to an MEng from the start of the course up to the end of the second year, providing that the transfer progression criteria have been met.",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Automotive Materials MEng (Hons),The Automotive Materials MEng course combines the core elements of materials engineering with specific training of relevance to the automotive (vehicle and transport) industries.,https://www.lboro.ac.uk/study/undergraduate/courses/automotive-materials-meng/,Undergraduate study,"A need for increased fuel efficiency, lighter vehicles, and a need to meet new environmental regulations, alongside a need for delivering superior value to customer, means that automotive companies are focusing on developing new materials to keep up with policies, as well as increased demand.
Automotive Materials is therefore an increasingly important area of study, as the industry operates to meet changing needs. The very fabric that our vehicles are made of need to reflect this, as well as maintaining appearance, functionality and safety aspects, all whilst keeping costs to the customer down. 
Our Automotive Materials degree combines the core elements of materials engineering with specific training of relevance to the automotive industries. Selected modules are taught in conjunction with the Department of Aeronautical and Automotive Engineering. 
This course will give you the opportunity to explore and deepen your knowledge and understanding of the scientific, engineering and design aspects of automotive materials, their structure, properties, processing, and in-service behaviour.
At Loughborough, our course will take you from the fundamental science and engineering of materials, to the cutting-edge of the subject. During your time with us, you will have access to our state-of-the-art experimental labs to complement your lectures and will be taught by world-leading academics whose influence extends outside of the lecture theatre. In year three, students will complete a research project on a specific topic of interest supervised by a member of academic staff, potentially in collaboration with an industrial partner. 
Backed by all sectors of the automotive and transport industries, this is the definitive course to prepare you for a career in an important industrial world market.
Our Automotive Materials course utilises the resources and expertise for which Loughborough University is a Centre of Excellence and is recognised as such by BAE Systems, Jaguar Land Rover, Ford Motor Company and Rolls-Royce, as well as national research and education leaders in materials and automotive engineering. It offers a special blend of materials engineering knowledge linked to an appreciation of vehicle and engine design, plus management skills and the international awareness that is required of professional engineers.
What's the difference between MEng and BEng?
The first two years of a BEng or MEng share the same content, format and structure, with a good mix of theory, application and practical content from day one. The MEng differs from the BEng course in the third and fourth years by offering the opportunity to study technical and management topics at a more advanced level. It is possible to transfer from a BEng to an MEng from the start of the course up to the end of the second year, providing that the transfer progression criteria have been met.
Automotive Materials BEng",5 years full-time with placement year or 4 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Bioengineering BEng (Hons),Our BEng (Hons) Bioengineering degree is an exciting new interdisciplinary course from Loughborough’s Engineering Schools in the application of engineering to biology and medicine.,https://www.lboro.ac.uk/study/undergraduate/courses/bioengineering-beng/,Undergraduate study,"Bioengineering is the application of engineering practices and principles to analyse and design new processes, tools and techniques, in order to bridge gaps across biological and healthcare challenges. It applies fundamental engineering principles to the innovation and design of new products and processes, and plays an integral role in global issues where the challenge or solution is biological in origin.
Our Bioengineering degree draws from our expertise across several academic departments and will give you a thorough grounding in engineering systems and applications relevant to bioengineering. You will also gain a sound understanding of human anatomy, physiology and biological functions and the ability to apply your knowledge and skills to bioengineering problems.
The field is rapidly developing, and bioengineers work in a wide variety of sectors globally, developing products and creating technology to help people achieve a better quality of life and break barriers in medical and sporting achievements. Examples include prosthetics and biomaterial implants, software engineering for advanced and 3D medical imaging, image-guided and robot assisted surgery, regenerative medicine against incurable diseases, tissue engineering such as bioengineered skin for wounds, 3D bioprinting, medical device development and new assistive technologies (wearable technology, mobile and e-health).
At Loughborough, our course will take you from the fundamental science and engineering to the cutting-edge of the subject. During your time with us, you will have access to our state-of-the-art experimental labs to complement your lectures. In year three, students will complete a research project on a specific topic of interest supervised by a member of academic staff.
Bioengineering in action
Bioengineering approaches can directly impact human health through the development of prosthetics and biomedical implants, such as hip implants. Find out how you can learn the engineering behind these life-enhancing products as part of our course.
What's the difference between MEng and BEng?
The first two years of the MEng and BEng share the same content to ensure a thorough grounding in engineering and biological concepts, with a good mix of theory, application and practical content from day one. The MEng differs from the BEng course in the third and fourth years, and MEng students are required to study a wider range of technical subjects with additional depth. MEng students also undertake an advanced team research project.
Bioengineering MEng",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Bioengineering MEng (Hons),Bioengineering MEng is an exciting new interdisciplinary course from Loughborough’s Engineering Schools in the application of engineering to biology and medicine.,https://www.lboro.ac.uk/study/undergraduate/courses/bioengineering-meng/,Undergraduate study,"Bioengineering is the application of engineering practices and principles to analyse and design new processes, tools and techniques to bridge gaps across biological and healthcare challenges. Fundamental engineering principles are used in innovation and design of new products and processes. It plays an integral role in global issues where the challenge or solution is biological in origin.
Our Bioengineering degree draws from our expertise across several academic departments and will give you a thorough grounding in engineering systems and applications relevant to bioengineering, a sound understanding of human anatomy, physiology and biological functions and the ability to apply your knowledge and skills to bioengineering problems.
The field is rapidly developing and bioengineers work in a wide variety of sectors globally, developing products and creating technology to help people achieve a better quality of life and break barriers in medical and sporting achievements. Examples include prosthetics and biomaterial implants, software engineering for advanced and 3D medical imaging, image-guided and robot assisted surgery, regenerative medicine against incurable diseases, tissue engineering such as bioengineered skin for wounds, 3D bioprinting, medical device development and new assistive technologies (wearable technology, mobile and e-health).
At Loughborough, our course will take you from the fundamental science and engineering to the cutting-edge of the subject. During your time with us, you will have access to our state-of-the-art experimental labs to complement your lectures. In their third year, students will complete a research project on a specific topic of interest supervised by a member of academic staff.
Bioengineering in action
Bioengineering approaches can directly impact human health through the development of prosthetics and biomedical implants, such as hip implants. Find out how you can learn the engineering behind these life-enhancing products as part of our course.
What's the difference between MEng and BEng?
The first two years of the MEng and BEng share the same content to ensure a thorough grounding in engineering and biological concepts, with a good mix of theory, application and practical content from day one. The MEng differs from the BEng course in the third and fourth years, and MEng students are required to study a wider range of technical subjects with additional depth. MEng students also undertake an advanced team research project.
Bioengineering BEng",5 years full-time with placement year or 4 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Biological Sciences BSc (Hons),"Biological Sciences is an exciting and rapidly developing field, bringing together knowledge, ideas and techniques from all areas of biology to allow us to expand our understanding of the human body and its interplay with the environment. Find out more.",https://www.lboro.ac.uk/study/undergraduate/courses/biological-sciences-bsc/,Undergraduate study,"Biological Sciences is an exciting and rapidly developing field, bringing together knowledge, ideas and techniques to allow us to expand our understanding of the human body and its interplay with the environment.
Our BSc Biological Sciences degree is designed to develop your understanding of the fundamental mechanisms underlying life and health in whole organisms.
During the Biological Sciences course, you will explore topics including genetics and molecular biology, biochemistry and metabolism, cell biology and regenerative medicine, human evolution, anatomy and physiology, growth, development and ageing, as well as research methods.
You will also focus on the development of practical laboratory skills and benefit from teaching in STEMLab, the University's £17 million state-of-the-art facility, as well as other specialist laboratories.
Optional year-long professional placement opportunities are also available to help you develop essential skills and boost your employability, while international placements provide an opportunity to experience another country during your studies.
What's the difference between MSci and BSc?
At Loughborough, you can choose to study Biological Sciences as a BSc degree or an MSci.
The BSc Biological Sciences degree will provide a thorough grounding in the discipline, equipping you with the knowledge, practical laboratory experience, and professional and transferable skills to support your career aspirations in biological science, health, or broader graduate destinations.
The MSci is aimed at those who aspire to work in research or posts requiring more experience. The inclusion of a major research project allows you to demonstrate that you are capable of independently tackling a specific research question, demonstrating a range of skills important to employers.
Biological Sciences MSci",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Biological Sciences MSci (Hons),"Biological Sciences is an exciting and rapidly developing field, bringing together knowledge, ideas and techniques from all areas of biology to allow us to expand our understanding of the human body and its interplay with the environment. Find out more.",https://www.lboro.ac.uk/study/undergraduate/courses/biological-sciences-msci/,Undergraduate study,"Biological Sciences is an exciting and rapidly developing field, bringing together knowledge, ideas and techniques to allow us to expand our understanding of the human body and its interplay with the environment.
Our MSci Biological Sciences degree is designed to develop your understanding of the the fundamental mechanisms underlying life and health in whole organisms.
During the Biological Sciences course, you will explore topics including genetics and molecular biology, biochemistry and metabolism, cell biology and regenerative medicine, human evolution, anatomy and physiology, growth, development and ageing, as well as research methods.
You will also focus on the development of practical laboratory skills and benefit from teaching in STEMLab, the University's £17 million state-of-the-art facility, as well as other specialist laboratories.
Optional year-long professional placement opportunities are also available to help you develop essential skills and boost your employability, while international placements provide the opportunity to experience another country during your studies.
In the final year, our MSci Biological Sciences degree features a chance to complete a substantial research project in your chosen area of interest. The focus on developing your research skills makes the MSci particularly strong preparation for a career in research or for PhD study.
What's the difference between MSci and BSc?
At Loughborough, you can choose to study Biological Sciences as a BSc degree or an MSci.
The BSc Biological Sciences degree will provide a thorough grounding in the discipline, equipping you with the knowledge, practical laboratory experience, and professional and transferable skills to support your career aspirations in biological science, health, or broader graduate destinations.
The MSci is aimed at those who aspire to work in research or posts requiring more experience. The inclusion of a major research project allows you to demonstrate that you are capable of independently tackling a specific research question, demonstrating a range of skills important to employers.
Biological Sciences BSc",5 years full-time with placement year or 4 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
Biomaterials Engineering BEng (Hons),"Our BEng (Hons) Biomaterials Engineering degree builds on our strengths across campus and offers students with a bias towards bioscience and biotechnology, a route into the important and growing area of materials that are bio-compatible and/or bio-derived and those that are designed for use in the biomedical sector.",https://www.lboro.ac.uk/study/undergraduate/courses/biomaterials-engineering-beng/,Undergraduate study,"Biomaterials Engineering is an exciting course delivered within the Department of Materials at Loughborough, and builds on our strengths in materials and bio-related disciplines across the university.
The course will teach you the fundamentals of materials, their properties and engineering methods, and how to apply these to the biomedical field, particularly within the human body. Application areas are in the health, sport, and lifestyle sectors, as well as in regenerative medicine. In the context of a world-wide ageing population, biomaterials and medical device technology are developing fields that are set to grow for many years.
By its nature, this course is interdisciplinary, and benefits from the expertise of our School of Sports, Exercise and Health Sciences and Chemical Engineering department (Regenerative Medicine).
Our Biomaterials Engineering degree is a comprehensive programme of modules that deliver both the theory and the essential industrial relevance employers seek from graduates. The course content encompasses all aspects of materials and biomaterials; their selection, manufacture, testing, assembly and environmental impact both during production and at the end of life.
What's the difference between MEng and BEng?
The first two years of a BEng and MEng share the same content, format and structure, with a good mix of theory, application and practical content from day one. The MEng differs from the BEng course in the third and fourth years by offering the opportunity to study technical and management topics at a more advanced level.  It is possible to transfer from a BEng to an MEng from the start of the course up to the end of the second year, providing that the transfer progression criteria are met.
Biomaterials Engineering MEng",4 years full-time with placement year or 3 years full-time,"General entry requirements
The entry requirements for each course should be read alongside the University’s general entry requirements which give further details on acceptable subjects, alternative UK and international qualifications and minimum English language requirements.
General entry requirements
Contextual admissions
The University’s admissions process uses contextual information to provide insights into the context in which your academic qualifications have been achieved. This may influence the typical offers listed below.
Contextual admissions","UK fees
Full-time course per annum
£9,250
Placement year
Approx. 20% of the full-time fee
International fees
Full-time course per annum
£27,250
Placement year
Approx. 20% of the full-time fee"
